time,p1,p2,p3,p4,p5,termite,ax,ay,az,rx,ry,rz,roll,pitch,yaw,q1,q2,q3,q4,calibration,temperature,humidity,pressure,flag_rm,lat,lacoord,lon,locoord,capacitive,o_lat,o_lon,used_lat,used_lon,altitude,flag_lm
0.0,33.0,48.0,26.0,146.0,38.0,nan,-0.25,-8.03,0.63,3.37,-86.9,213.14,-0.86,2.02,1.08,0.69,-0.66,-0.18,0.23,1.0,nan,0.0,0.0918897,0.0,43.61590141414141,nan,-72.79642002777778,nan,0.0,4336.9541,7247.7852,1.0,1.0,0.0,0.0
19.0,34.0,59.0,44.0,152.0,41.0,nan,-0.2,-8.05,0.63,3.37,-86.89,213.1,-0.16,1.95,0.94,0.69,-0.66,-0.18,0.23,1.0,nan,0.0,0.0918897,0.0,43.6159013510101,nan,-72.79642005555556,nan,0.0,4336.9541,7247.7852,0.0,0.0,0.0,0.0
42.0,46.0,46.0,38.0,117.0,37.0,nan,-0.22,-8.06,0.48,3.37,-86.9,213.06,-0.72,2.09,0.8,0.69,-0.67,-0.18,0.23,1.0,nan,0.0,0.0918897,0.0,43.615901287878785,nan,-72.79642008333335,nan,0.0,4336.9541,7247.7852,0.0,0.0,0.0,0.0
61.0,17.0,19.0,39.0,178.0,38.0,nan,-0.25,-8.04,0.6,3.37,-86.9,213.03,-0.58,1.6,0.59,0.69,-0.67,-0.17,0.23,1.0,nan,0.0,0.0918897,0.0,43.61590109848485,nan,-72.796420125,nan,0.0,4336.9541,7247.7852,0.0,0.0,0.0,0.0
84.0,24.0,37.0,43.0,88.0,39.0,nan,-0.2,-8.05,0.54,3.36,-86.91,213.0,-0.58,1.53,0.31,0.69,-0.67,-0.17,0.23,1.0,nan,0.0,0.0918897,0.0,43.61590071969697,nan,-72.79642020833333,nan,3.0,4336.9541,7247.7852,0.0,0.0,0.0,0.0
