time,p1,p2,p3,p4,p5,termite,ax,ay,az,rx,ry,rz,roll,pitch,yaw,q1,q2,q3,q4,calibration,temperature,humidity,pressure,flag_rm,lat,lacoord,lon,locoord,capacitive,o_lat,o_lon,used_lat,used_lon,altitude,flag_lm
0.0,37.0,16.0,37.0,199.0,37.0,nan,-0.51,-8.03,-0.4,5.15,-92.72,350.48,-0.51,1.53,0.31,0.02,-0.09,-0.72,0.69,1.0,nan,0.0,0.0868998,0.0,43.60478290123456,nan,-72.81873333333334,nan,162.0,4336.2871,7249.124,1.0,1.0,0.0,0.0
23.0,30.0,41.0,53.0,224.0,78.0,nan,-0.52,-8.09,-0.45,5.16,-92.71,350.45,0.82,1.46,1.08,0.02,-0.09,-0.72,0.69,1.0,nan,0.0,0.0868998,0.0,43.60478080246913,nan,-72.8187375308642,nan,158.0,4336.2871,7249.124,0.0,0.0,0.0,0.0
42.0,44.0,38.0,28.0,201.0,78.0,nan,-0.61,-7.98,-0.35,5.16,-92.68,350.43,1.31,0.97,0.73,0.03,-0.09,-0.72,0.69,1.0,nan,0.0,0.0868998,0.0,43.60477730452674,nan,-72.81874102880657,nan,163.0,4336.2871,7249.124,0.0,0.0,0.0,0.0
65.0,35.0,37.0,43.0,219.0,41.0,nan,-0.55,-8.02,-0.11,5.15,-92.66,350.42,-0.02,0.62,-0.04,0.03,-0.09,-0.72,0.69,1.0,nan,0.0,0.0868998,0.0,43.60477590534979,nan,-72.81874242798354,nan,163.0,4336.2871,7249.124,0.0,0.0,0.0,0.0
84.0,53.0,22.0,40.0,211.0,88.0,nan,-0.51,-8.07,0.0,5.15,-92.65,350.4,-0.3,1.18,0.94,0.03,-0.09,-0.72,0.69,1.0,nan,0.0,0.0868998,0.0,43.60477450617283,nan,-72.81874382716049,nan,166.0,4336.2871,7249.124,0.0,0.0,0.0,0.0
