millis,latitude,coord1,longitude,coord2,capacitive
6954793.0,43.60756,nan,-72.80091166666666,nan,60.0
6954819.0,43.60756,nan,-72.80091166666666,nan,60.0
6954847.0,43.60756,nan,-72.80091166666666,nan,60.0
6954872.0,43.60756,nan,-72.80091166666666,nan,60.0
6954898.0,43.60756,nan,-72.80091166666666,nan,60.0
6954925.0,43.60756,nan,-72.80091166666666,nan,60.0
6954951.0,43.60756,nan,-72.80091166666666,nan,60.0
6954976.0,43.60756,nan,-72.80091166666666,nan,55.0
6955002.0,43.60756,nan,-72.80091166666666,nan,60.0
6955029.0,43.60756,nan,-72.80091166666666,nan,60.0
6955055.0,43.60756,nan,-72.80091166666666,nan,60.0
6955080.0,43.60756,nan,-72.80091166666666,nan,60.0
6955106.0,43.60756,nan,-72.80091166666666,nan,60.0
6955132.0,43.60756,nan,-72.80091166666666,nan,60.0
6955158.0,43.60756,nan,-72.80091166666666,nan,60.0
6955185.0,43.60756,nan,-72.80091166666666,nan,60.0
6955210.0,43.60756,nan,-72.80091166666666,nan,58.0
6955237.0,43.60756,nan,-72.80091166666666,nan,53.0
6955263.0,43.60756,nan,-72.80091166666666,nan,60.0
6955288.0,43.60756,nan,-72.80091166666666,nan,60.0
6955315.0,43.60756,nan,-72.80091166666666,nan,60.0
6955341.0,43.60756,nan,-72.80091166666666,nan,60.0
6955367.0,43.60756,nan,-72.80091166666666,nan,60.0
6955393.0,43.60756,nan,-72.80091166666666,nan,60.0
6955418.0,43.60756,nan,-72.80091166666666,nan,60.0
6955444.0,43.60756,nan,-72.80091166666666,nan,60.0
6955471.0,43.60756,nan,-72.80091166666666,nan,60.0
6955497.0,43.60756,nan,-72.80091166666666,nan,60.0
6955522.0,43.60756,nan,-72.80091166666666,nan,60.0
6955549.0,43.60756,nan,-72.80091166666666,nan,60.0
6955574.0,43.60756,nan,-72.80091166666666,nan,60.0
6955600.0,43.60756,nan,-72.80091166666666,nan,60.0
6955627.0,43.60756,nan,-72.80091166666666,nan,59.0
6955653.0,43.60756,nan,-72.80091166666666,nan,60.0
6955679.0,43.60756,nan,-72.80091166666666,nan,60.0
6955705.0,43.60756,nan,-72.80091166666666,nan,60.0
6955730.0,43.60756,nan,-72.80091166666666,nan,60.0
6955757.0,43.60756,nan,-72.80091166666666,nan,60.0
6955783.0,43.60756,nan,-72.80091166666666,nan,60.0
6955809.0,43.60756,nan,-72.80091166666666,nan,60.0
6955835.0,43.60756,nan,-72.80091166666666,nan,60.0
6955860.0,43.60756,nan,-72.80091166666666,nan,60.0
6955887.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6955911.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6955938.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6955964.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6955991.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956017.0,43.607551666666666,nan,-72.80093666666667,nan,56.0
6956043.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956069.0,43.607551666666666,nan,-72.80093666666667,nan,57.0
6956094.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956121.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956147.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956173.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956199.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956224.0,43.607551666666666,nan,-72.80093666666667,nan,57.0
6956251.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956275.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956302.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956328.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956355.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956380.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956406.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956433.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
6956459.0,43.607551666666666,nan,-72.80093666666667,nan,60.0
