time,p1,p2,p3,p4,p5,termite,ax,ay,az,rx,ry,rz,roll,pitch,yaw,q1,q2,q3,q4,calibration,temperature,humidity,pressure,flag_rm,lat,lacoord,lon,locoord,capacitive,o_lat,o_lon,used_lat,used_lon,altitude,flag_lm
0.0,17.0,26.0,77.0,124.0,67.0,nan,-0.82,-7.9,-1.13,6.03,-95.7,143.26,-0.29,-0.19,0.2,-0.65,0.69,-0.27,0.17,1.0,26.14,34.72,0.0746177,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,1.0,1.0,2622.7,0.0
22.0,18.0,18.0,67.0,137.0,102.0,nan,-1.0,-7.57,-0.71,6.04,-95.7,143.27,-0.01,-0.19,-0.57,-0.65,0.69,-0.27,0.17,1.0,26.14,34.72,0.0746177,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
42.0,25.0,29.0,52.0,139.0,109.0,nan,-0.86,-8.0,-1.12,6.04,-95.71,143.27,0.48,-0.33,0.2,-0.65,0.69,-0.27,0.17,1.0,26.14,34.72,0.0746177,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
65.0,25.0,30.0,68.0,140.0,111.0,nan,-0.96,-8.15,-0.75,6.04,-95.68,143.28,1.67,-0.4,0.06,-0.65,0.69,-0.27,0.17,1.0,26.14,34.72,0.0746177,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
91.0,28.0,27.0,99.0,159.0,121.0,nan,-0.89,-7.46,-0.82,6.04,-95.68,143.29,0.27,-0.26,-0.64,-0.65,0.69,-0.27,0.17,1.0,26.14,34.72,0.0746177,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
114.0,18.0,30.0,157.0,147.0,110.0,nan,-1.04,-8.24,-0.74,6.05,-95.62,143.3,2.65,-0.47,-0.01,-0.65,0.69,-0.27,0.17,1.0,26.14,34.72,0.0746177,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
134.0,38.0,27.0,217.0,150.0,125.0,nan,-0.82,-7.52,-0.84,6.04,-95.63,143.3,-0.22,-0.05,-0.43,-0.65,0.69,-0.27,0.17,1.0,26.14,34.72,0.0746177,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
157.0,27.0,30.0,114.0,138.0,124.0,nan,-1.11,-8.3,-0.68,6.05,-95.56,143.31,3.0,-0.61,-0.22,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
178.0,17.0,31.0,77.0,141.0,104.0,nan,-1.08,-7.39,-0.79,6.07,-95.57,143.31,-0.36,-0.05,-0.15,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
201.0,31.0,26.0,88.0,138.0,125.0,nan,-0.93,-8.24,-0.53,6.06,-95.5,143.33,2.58,-0.54,-0.57,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338607142857,nan,-99.6143716259169,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
221.0,18.0,31.0,119.0,148.0,109.0,nan,-0.93,-7.53,-0.79,6.07,-95.52,143.33,-0.71,0.02,-0.15,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,2622.7,0.0
243.0,27.0,31.0,93.0,138.0,110.0,nan,-0.93,-7.59,-0.77,6.07,-95.51,143.34,-1.48,-0.05,-0.15,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
270.0,26.0,31.0,146.0,154.0,112.0,nan,-0.94,-8.13,-0.61,6.06,-95.47,143.35,1.11,-0.47,-0.71,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
293.0,26.0,27.0,88.0,137.0,111.0,nan,-0.78,-7.71,-0.82,6.05,-95.51,143.35,-1.48,0.02,-0.15,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
312.0,19.0,26.0,87.0,137.0,110.0,nan,-1.01,-7.85,-0.84,6.06,-95.51,143.35,0.2,-0.19,-0.43,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
335.0,17.0,31.0,108.0,139.0,110.0,nan,-0.74,-7.87,-1.03,6.04,-95.56,143.35,-1.41,-0.12,-0.5,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
355.0,38.0,18.0,67.0,159.0,120.0,nan,-1.01,-7.71,-0.73,6.05,-95.56,143.36,-0.15,-0.19,-0.5,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
378.0,17.0,31.0,119.0,147.0,110.0,nan,-0.75,-7.91,-1.05,6.04,-95.58,143.36,-0.22,-0.26,-0.22,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
397.0,26.0,31.0,64.0,139.0,109.0,nan,-1.02,-7.61,-0.8,6.04,-95.59,143.36,-0.5,-0.12,-0.57,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
420.0,27.0,31.0,108.0,159.0,125.0,nan,-0.84,-8.01,-1.23,6.04,-95.62,143.37,0.2,-0.26,0.06,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.26338547619048,nan,-99.6143715851671,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
439.0,26.0,30.0,108.0,133.0,110.0,nan,-0.86,-7.58,-0.81,6.03,-95.63,143.37,-0.36,-0.12,-0.64,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.263384880952387,nan,-99.6143715444173,nan,0.0,0.0,9936.8623,0.0,0.0,2622.7,0.0
463.0,27.0,30.0,56.0,160.0,125.0,nan,-0.83,-7.53,-0.81,6.05,-95.62,143.38,-0.57,-0.05,-0.64,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.263384880952387,nan,-99.6143715444173,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
489.0,37.0,25.0,157.0,182.0,124.0,nan,-1.13,-8.11,-0.87,6.07,-95.58,143.38,2.3,-0.4,0.06,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.263384880952387,nan,-99.6143715444173,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
511.0,18.0,31.0,89.0,184.0,124.0,nan,-0.83,-7.58,-0.73,6.06,-95.58,143.39,-0.29,-0.05,-0.71,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.263384880952387,nan,-99.6143715444173,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
531.0,27.0,26.0,67.0,184.0,138.0,nan,-1.06,-8.2,-0.74,6.07,-95.53,143.4,2.65,-0.47,-0.22,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.263384880952387,nan,-99.6143715444173,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
554.0,31.0,31.0,77.0,183.0,138.0,nan,-0.91,-7.47,-0.7,6.07,-95.53,143.4,-0.5,-0.12,-0.43,-0.65,0.69,-0.27,0.17,1.0,26.16,34.73,0.0746226,0.0,19.263384880952387,nan,-99.6143715444173,nan,0.0,0.0,9936.8623,0.0,0.0,0.0,0.0
