time,p1,p2,p3,p4,p5,termite,ax,ay,az,rx,ry,rz,roll,pitch,yaw,q1,q2,q3,q4,calibration,temperature,humidity,pressure,flag_rm,lat,lacoord,lon,locoord,capacitive,o_lat,o_lon,used_lat,used_lon,altitude,flag_lm
0.0,20.0,31.0,62.0,139.0,74.0,nan,-2.0,-7.71,-0.64,15.13,-92.22,157.04,-1.55,0.37,-1.13,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,1.0,1.0,2619.9,0.0
20.0,16.0,18.0,68.0,137.0,96.0,nan,-2.23,-7.65,-0.24,15.14,-92.21,157.04,0.13,-0.12,-0.43,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
40.0,26.0,30.0,78.0,155.0,110.0,nan,-1.92,-7.53,-0.75,15.12,-92.27,157.03,-1.06,0.37,-0.57,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
62.0,16.0,30.0,107.0,137.0,76.0,nan,-1.74,-7.84,-0.53,15.06,-92.27,157.03,0.48,-0.26,-1.41,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
82.0,24.0,30.0,107.0,137.0,100.0,nan,-2.21,-7.38,-0.55,15.09,-92.3,157.02,-0.15,0.16,0.41,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
104.0,19.0,30.0,68.0,139.0,119.0,nan,-1.66,-7.84,-0.29,15.03,-92.28,157.02,0.76,-0.05,-1.06,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
124.0,26.0,30.0,66.0,138.0,110.0,nan,-2.39,-7.49,-0.24,15.06,-92.29,157.02,-0.57,0.02,0.2,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
147.0,31.0,29.0,87.0,140.0,125.0,nan,-1.79,-7.66,-0.26,15.05,-92.23,157.04,2.44,-0.54,0.06,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
166.0,31.0,25.0,77.0,139.0,111.0,nan,-2.33,-7.68,-0.17,15.06,-92.24,157.03,-0.64,0.51,0.06,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
189.0,18.0,31.0,77.0,154.0,111.0,nan,-1.88,-7.98,-0.23,15.07,-92.19,157.04,0.13,0.02,-0.22,-0.69,0.68,-0.23,0.04,1.0,27.06,32.54,0.0746144,0.0,19.263388000000003,nan,-99.61435500000002,nan,0.0,0.0,9936.8613,0.0,0.0,0.0,0.0
