time,p1,p2,p3,p4,p5,termite,ax,ay,az,rx,ry,rz,roll,pitch,yaw,q1,q2,q3,q4,calibration,temperature,humidity,pressure,flag_rm,lat,lacoord,lon,locoord,capacitive,o_lat,o_lon,used_lat,used_lon,altitude,flag_lm
0.0,17.0,26.0,108.0,137.0,102.0,nan,-0.73,-8.0,1.24,4.3,-81.62,146.88,1.74,-0.26,0.2,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,1.0,1.0,2612.7,0.0
16.0,26.0,26.0,82.0,134.0,111.0,nan,-0.6,-7.83,1.13,4.29,-81.64,146.87,-0.85,0.16,-0.29,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
39.0,19.0,30.0,135.0,154.0,123.0,nan,-0.66,-7.85,1.16,4.29,-81.63,146.87,0.48,-0.05,-0.22,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
59.0,17.0,29.0,77.0,137.0,118.0,nan,-0.61,-7.91,1.18,4.29,-81.63,146.87,-0.36,0.09,-0.22,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
82.0,26.0,17.0,119.0,134.0,111.0,nan,-0.6,-7.97,1.2,4.29,-81.63,146.87,0.69,0.02,-0.01,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
108.0,26.0,18.0,135.0,133.0,104.0,nan,-0.73,-7.88,1.13,4.3,-81.64,146.87,-0.78,0.02,-0.36,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
131.0,17.0,29.0,63.0,125.0,117.0,nan,-0.55,-7.78,1.12,4.29,-81.64,146.86,0.2,0.09,-0.15,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
150.0,26.0,30.0,56.0,154.0,110.0,nan,-0.74,-8.03,1.23,4.3,-81.63,146.87,0.34,-0.19,-0.08,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
173.0,26.0,31.0,124.0,155.0,96.0,nan,-0.61,-7.8,1.05,4.3,-81.66,146.86,-1.13,0.3,-0.15,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
193.0,27.0,37.0,121.0,156.0,118.0,nan,-0.67,-7.89,1.16,4.3,-81.63,146.86,1.74,-0.19,-0.22,-0.73,0.62,-0.21,0.19,1.0,28.36,26.77,0.0747204,0.0,19.256823333333333,nan,-99.60139980842915,nan,0.0,0.0,9936.084,0.0,0.0,0.0,0.0
