time,p1,p2,p3,p4,p5,termite,ax,ay,az,rx,ry,rz,roll,pitch,yaw,q1,q2,q3,q4,calibration,temperature,humidity,pressure,flag_rm,lat,lacoord,lon,locoord,capacitive,o_lat,o_lon,used_lat,used_lon,altitude,flag_lm
0.0,17.0,29.0,109.0,125.0,67.0,nan,-0.77,-7.84,1.52,4.48,-78.81,126.9,-0.22,0.16,0.13,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,1.0,1.0,2591.6,0.0
14.0,17.0,30.0,108.0,138.0,100.0,nan,-0.62,-7.83,1.53,4.48,-78.81,126.9,0.41,-0.05,-0.22,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
37.0,18.0,27.0,136.0,140.0,110.0,nan,-0.74,-7.83,1.52,4.48,-78.81,126.9,0.06,-0.05,-0.29,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
57.0,38.0,26.0,73.0,152.0,126.0,nan,-0.59,-7.89,1.62,4.47,-78.79,126.9,0.48,-0.05,-0.22,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
80.0,25.0,29.0,98.0,136.0,76.0,nan,-0.79,-7.83,1.51,4.48,-78.81,126.9,-0.64,0.02,-0.15,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
99.0,17.0,29.0,82.0,138.0,116.0,nan,-0.61,-7.81,1.54,4.48,-78.81,126.89,0.2,0.09,-0.08,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
122.0,26.0,30.0,135.0,135.0,110.0,nan,-0.56,-7.85,1.56,4.47,-78.8,126.89,-0.36,0.16,-0.29,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
149.0,29.0,30.0,157.0,147.0,109.0,nan,-0.74,-7.83,1.56,4.48,-78.81,126.89,-0.64,0.09,-0.08,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
171.0,28.0,26.0,161.0,154.0,112.0,nan,-0.65,-7.87,1.49,4.48,-78.82,126.89,-0.5,0.16,-0.01,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
191.0,27.0,20.0,53.0,138.0,110.0,nan,-0.7,-7.78,1.48,4.48,-78.82,126.89,0.27,-0.12,-0.36,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
214.0,26.0,20.0,66.0,153.0,110.0,nan,-0.63,-7.9,1.61,4.47,-78.8,126.89,0.97,-0.12,-0.22,-0.7,0.55,-0.31,0.32,1.0,27.88,26.85,0.0747659,0.0,19.25035833333333,nan,-99.59148747863247,nan,0.0,0.0,9935.4893,0.0,0.0,0.0,0.0
233.0,17.0,30.0,108.0,144.0,111.0,nan,-0.7,-7.82,1.53,4.47,-78.81,126.89,-0.64,0.02,-0.22,-0.7,0.55,-0.31,0.32,1.0,27.84,26.91,0.0747742,0.0,19.250359188034192,nan,-99.5914866239316,nan,0.0,0.0,9935.4893,0.0,0.0,2591.6,0.0
